,0
0,-82.57440540601576
1,-110.32338921198225
2,-187.97395191818768
3,-161.58355461696473
4,-193.31549119559983
5,-203.8989748072698
6,-186.96078278007107
7,-180.8816877451355
8,-173.93701438725566
9,-201.50822699527683
10,-189.56707261312633
11,-184.8817775975639
12,-197.04138563895552
13,-205.87277584557472
14,-199.8782927904368
15,-193.2167215624043
16,-200.50675228372515
17,-197.18556586420286
18,-192.51220984167716
19,-201.01623968158827
20,-197.26036700367553
21,-201.15220683338487
22,-200.70386196612003
23,-195.48005239725853
24,-189.83428216844385
25,-192.28253777887056
26,-191.81439766603322
27,-190.19602457695268
28,-193.4058375596309
29,-192.2396793773579
30,-190.2614773071285
31,-188.90902501966858
32,-187.03566113018496
33,-184.79181517608595
34,-183.64023807570248
35,-181.73628823678575
36,-179.87758644744844
37,-176.88699308993117
38,-172.75917897784012
39,-171.27974011908
40,-171.11952069452647
41,-168.71229271277798
42,-165.97619416572618
43,-165.6094021136616
44,-163.76198858148226
45,-161.00435776489073
46,-160.6431896221263
47,-158.12050132265844
48,-157.45843854585974
49,-154.533731158593
50,-153.4359067240628
51,-155.8287775243159
52,-154.42014626151735
53,-153.48045958487103
54,-151.518772418816
55,-150.71756912376517
56,-149.51572850496936
57,-148.44160978198678
58,-148.29449503935086
59,-148.26150843724594
60,-145.41662095828198
61,-142.41849625951022
62,-140.4922571383853
63,-139.93317726837878
64,-139.03010024478323
65,-137.09259293169634
66,-138.19613200512043
67,-136.47026212177406
68,-137.64790060490157
69,-138.03398725292246
70,-135.80322325642024
71,-136.76718376403093
72,-136.1566079432508
73,-132.8316494194695
74,-132.20843076569656
75,-131.6873884595224
76,-131.07501994824267
77,-130.32361637484902
78,-129.07493045284133
79,-128.55239341228676
80,-128.92788277378358
81,-128.67598717344526
82,-128.96114129620003
83,-128.24165630160957
84,-129.92481742392613
85,-128.96510227118526
86,-128.78190014098277
87,-130.8145488610603
88,-130.39822208450062
89,-129.80833582573834
90,-129.3517873830589
91,-128.61088791442003
92,-127.38104118992041
93,-127.32427840195406
94,-127.3640928121331
95,-126.97103632971157
96,-126.64757565008006
97,-126.27792244493135
98,-125.69652085204413
99,-125.08685344083601
100,-125.14230018370907
101,-124.16737535417256
102,-122.40027207549791
103,-122.16550339088764
104,-119.7325804566632
105,-118.1148417199878
106,-117.66663943212252
107,-117.08972337222785
108,-116.15921053222414
109,-112.2983340819768
110,-112.4461358294591
111,-111.70556429891303
112,-110.70416322815674
113,-107.6351616671792
114,-107.72512597144559
115,-108.45786604512858
116,-105.81814379229691
117,-106.40249825026423
118,-105.86959161199894
119,-103.40307613471894
120,-102.15309695193542
121,-100.34104791124119
122,-99.20402084217346
123,-98.88200690973467
124,-98.9982861393157
125,-96.95343304770769
126,-95.93942516539664
127,-95.72690027686731
128,-93.58153045353143
129,-93.5002371858256
130,-92.44984191621157
131,-92.03276306958222
132,-91.12552194422659
133,-92.46402656066843
134,-91.3570219331725
135,-90.90946257931495
136,-91.4189325388544
137,-90.80712143777995
138,-91.65177179779644
139,-91.56380444723258
140,-90.22264857390768
141,-89.35494172756799
142,-91.00278891697178
143,-92.06779633344019
144,-92.2698351853502
145,-92.78337275274751
146,-92.22187857055256
147,-92.71595748005004
148,-91.64591879721758
149,-92.04342490698495
150,-92.00511780779667
151,-89.36831467917645
152,-89.11271513119578
153,-87.8399837101708
154,-87.67666972155745
155,-86.46256999781507
156,-85.87406935679857
157,-84.59591201091814
158,-83.38139515949342
159,-82.3774918427179
160,-82.5909708513555
161,-82.97939458708474
162,-82.88626116038022
163,-82.15836657823014
164,-83.15966317487792
165,-82.97509007113989
166,-80.58621657141593
167,-80.78372180375324
168,-80.54678147160523
169,-79.94024781445562
170,-81.65311639103453
171,-79.57446928681362
172,-79.22982842024871
173,-80.5747992382175
174,-79.45507138315538
175,-78.9616232640389
176,-78.19961010278973
177,-77.68123496708438
178,-77.55187901969244
179,-77.56754099027994
180,-75.66561208549288
181,-75.46888384454375
182,-74.362589753874
183,-72.85732363199195
184,-71.07684614945438
185,-71.58920571520669
186,-72.60591796882615
187,-69.50086408239194
188,-67.68992575660782
189,-66.66059161575232
190,-65.408152366064
191,-64.3272527230302
192,-64.26615799087519
193,-63.43240533919792
194,-60.6845865002822
195,-60.14064630047996
196,-59.047739602653465
197,-59.53281706879329
198,-58.695638025437766
199,-57.11396795289611
200,-55.35006846323458
201,-55.19897483402932
202,-53.51161873550952
203,-52.812688327831594
204,-51.2818502919607
205,-49.51545828017104
206,-48.254273376930726
207,-46.21696089525169
208,-45.77853633891978
209,-45.24435173084217
210,-43.338583354951886
211,-41.007726869792776
212,-38.0591518195257
213,-37.9266303613079
214,-35.592083917829726
215,-32.70785159790278
216,-31.54139523658097
217,-28.7708992349944
218,-27.050240243921657
219,-25.22469645399904
220,-25.96248290681675
221,-25.572274350189186
222,-25.756424318328712
223,-25.65179252817865
224,-25.922865677937935
225,-25.564860089723084
226,-22.66836209000114
227,-21.917306640731272
228,-21.40447124305838
229,-20.48488348631216
230,-20.47802565992137
231,-18.607763632472206
232,-18.63135558518379
233,-17.18177488383823
234,-17.136455777430918
235,-16.61041498392798
236,-15.380746223240749
237,-14.636189885115403
238,-13.896094387666558
239,-11.884567677873799
240,-10.954196316885286
241,-11.310378955576887
242,-8.033722130953787
243,-6.041625622423208
244,-2.7516061377798877
245,-1.8717704269205424
246,-1.265370985508042
247,-1.0470860442176675
248,-1.775059574463899
249,-0.722873990946097
250,1.151178541337532
251,2.140341763524631
252,2.672355634840561
253,2.8541060408169994
254,3.332965833674096
255,4.196019002020617
256,5.792919892931736
257,5.392574119842216
258,4.648879931624196
259,4.766924920020926
260,6.023721586313009
261,5.036900310008001
262,4.511682460953706
263,3.671742638302875
