,0
0,-134.7657535035853
1,-201.10614666331782
2,-169.750645412642
3,-185.110295341568
4,-177.57440221628593
5,-179.41584139167924
6,-178.2073095221058
7,-176.73765147041274
8,-172.257851324669
9,-163.03702808876525
10,-169.6164035542759
11,-164.70650836478075
12,-181.8232170952559
13,-191.75388314709792
14,-188.5587276987826
15,-182.37096518993656
16,-175.16978946414514
17,-172.50288457525332
18,-170.87109187283258
19,-175.56102787794052
20,-171.11891948519593
21,-168.2598329992902
22,-168.82796312091324
23,-167.0336387218285
24,-164.0121445989298
25,-161.03147885627655
26,-155.2103247981922
27,-156.1333571196808
28,-154.31201589919843
29,-157.64690749695907
30,-155.80910706470772
31,-156.31098082046427
32,-154.3692147298717
33,-151.41604486716295
34,-149.65957619478698
35,-147.83530973833695
36,-146.77110357680235
37,-146.67621472086046
38,-145.95849500836908
39,-148.18608697564883
40,-149.39597712884367
41,-148.59956991457062
42,-148.4089247571155
43,-143.32257747879976
44,-143.96222729815048
45,-141.39103722705414
46,-141.77056382199746
47,-141.4848497089509
48,-139.25153289117125
49,-139.01594413736944
50,-137.98299454058295
51,-137.13970384309886
52,-135.73401986879497
53,-135.7783879320311
54,-134.26355627440833
55,-133.85250186849007
56,-133.3042370404927
57,-131.71979619177384
58,-133.604680380481
59,-133.19552335360237
60,-131.94851156189281
61,-131.1132410297775
62,-132.97426635450307
63,-131.68396271947356
64,-131.34384744239517
65,-130.6354100242319
66,-133.141974960924
67,-132.6127237094243
68,-130.9264290690533
69,-130.04110490283028
70,-128.6862203408926
71,-128.10523586202666
72,-127.37416936352037
73,-126.3712705412803
74,-125.47122900201163
75,-124.80183547147884
76,-124.21996284385348
77,-123.20755950384223
78,-122.59782749780847
79,-122.40081522607927
80,-123.7157147201109
81,-122.51096338004908
82,-121.91268850725065
83,-121.94026976554882
84,-121.74322604083754
85,-121.22202032521996
86,-120.47380683053925
87,-119.27713318974384
88,-118.49319906351093
89,-118.37194740233122
90,-117.38394243753068
91,-116.61828116731921
92,-115.87615678916403
93,-115.24329148259953
94,-113.87150077864415
95,-112.67975918352312
96,-111.77986313026591
97,-110.52449248241852
98,-111.72020948476587
99,-111.24949797171807
100,-109.62701959984324
101,-108.16401820721923
102,-107.51282907405277
103,-106.31258436072031
104,-105.081488002154
105,-103.42280150663439
106,-102.34681802288483
107,-102.18883451035381
108,-100.84478885823484
109,-100.40575374356413
110,-98.74954075449067
111,-98.22291132523448
112,-95.97140766681268
113,-93.15635408811117
114,-93.30801123946586
115,-94.3956428006883
116,-94.08456029051895
117,-93.27186535792558
118,-92.6843636471412
119,-91.28929410149058
120,-90.86966176868098
121,-90.15031364957338
122,-88.9242276319669
123,-88.47055734725075
124,-88.10263464276983
125,-87.84535237191663
126,-88.73766499976986
127,-87.95120518097694
128,-87.07498167521616
129,-84.77633195136752
130,-84.84671798280623
131,-83.19962988627317
132,-84.51613585200168
133,-86.96307989140516
134,-86.24338248618311
135,-86.26803858301889
136,-85.37340992393139
137,-83.88529054033157
138,-82.15187440197695
139,-79.1128982161615
140,-76.09630829029247
141,-75.46541152768715
142,-74.87483040592598
143,-75.77849112788554
144,-73.35392883837446
145,-73.41254770635682
146,-71.59073526306526
147,-70.27701093947753
148,-70.0596158955897
149,-68.69995689106618
150,-68.15507700769594
151,-67.7845234438801
152,-66.36316633643406
153,-65.1230267336009
154,-64.25391230645657
155,-61.85164690406421
156,-61.36625761739668
157,-60.672561298376785
158,-57.43830175856195
159,-56.7329352798927
160,-56.561283756570226
161,-55.91223296927466
162,-54.35529528835176
163,-54.6496551651709
164,-54.357178879576786
165,-54.35744249300533
166,-52.120567378346514
167,-52.24434563534137
168,-51.73752346070558
169,-51.34363503069706
170,-51.44582945862217
171,-51.45369172536673
172,-51.02570777215004
173,-50.70624776946125
174,-50.10500803105651
175,-49.53676154160156
176,-49.16107518187292
177,-49.3282923691912
178,-48.830713792594835
179,-47.68564894932908
180,-45.087220339713575
181,-44.61474205737613
182,-43.52061609941949
183,-42.25424203249634
184,-41.60812443909682
185,-40.69847379076833
186,-40.33142305846467
187,-40.42430489903126
188,-40.223425641713575
189,-39.04546559827134
190,-38.878524942217226
191,-38.31833253494815
192,-37.7320625240491
193,-36.69436877582183
194,-36.86515988126394
195,-36.95940777573342
196,-36.58229587672577
197,-37.68379992019036
198,-35.71457147062777
199,-35.48212076007521
200,-36.18445903133758
201,-34.94025161455023
202,-34.28341277336095
203,-33.45159200500136
204,-33.3572093046171
205,-33.626565924534496
206,-32.29858354959508
207,-30.7950573015022
208,-30.46231386663822
209,-30.063571118999832
210,-29.150188072110687
211,-28.394567052689627
212,-26.119289575625075
213,-25.48503310650515
214,-24.22508685246666
215,-22.42100028131356
216,-22.69153451350984
217,-22.059234907736645
218,-21.565228072945448
219,-20.076755083572024
220,-19.716048835693623
221,-20.30817174325976
222,-20.025889851604603
223,-20.253338461605093
224,-19.380670470649594
225,-19.266188581564666
226,-18.612544089308713
227,-19.960213635876492
228,-21.41141521529132
229,-21.481350157478623
230,-20.921274921829067
231,-21.53375531565942
232,-19.723464896804682
233,-16.34039195295273
234,-16.505776391470416
235,-15.600972676381126
236,-15.678208023116445
237,-16.258637528189407
238,-19.933946918219945
239,-20.651747232083164
240,-21.253951514879017
241,-20.677681902592738
242,-19.488739739687457
243,-18.565201010574757
244,-18.24646817349437
245,-15.656335396860932
246,-18.016877803100133
247,-19.39531645840968
248,-19.039019710247363
249,-19.81756776309092
250,-18.26212429553245
251,-18.739396626718378
252,-19.745278161406066
253,-18.71322069661188
254,-19.2069192531631
255,-19.14103902436525
256,-18.951397418981582
257,-17.998912601020706
258,-17.851807665410703
259,-16.33209522205412
260,-15.124882247348904
261,-14.40040172236495
262,-12.914213061611797
263,-13.491019834561966
264,-12.008189802512579
265,-11.501616385508822
266,-9.522590433880032
267,-8.643162241824392
268,-10.3644530174143
269,-13.500339908762362
270,-13.138858753527137
271,-11.457468813161535
272,-9.36439335122443
273,-7.993810690208412
274,-7.307417622194337
275,-6.128016699950865
276,-7.655226304353005
277,-7.054756468714053
278,-6.207486990162725
279,-3.7810475236309737
280,-5.652622682937842
281,-5.969242390275682
282,-7.333957243464356
283,-6.989173382803613
284,-7.033512986933271
285,-6.211947477112882
286,-6.248476909580533
287,-6.154746631323315
288,-6.769941998447637
289,-6.546031394977865
290,-5.701916371543604
291,-3.7070253433968143
292,-4.825451549171164
293,-4.232992249589536
294,-4.369336854297618
295,-3.206247689005933
296,-1.2449045906715384
297,-1.4246572531724129
298,-0.8568440828867884
299,1.7702398192773032
300,3.215822864522908
301,3.5687295270654
302,2.591991271263162
303,4.742040923583825
304,5.341572393473452
305,5.511461302465728
306,4.073609916303159
307,4.291971246443621
308,3.332337724349102
309,3.1129297470898636
310,4.740428605566595
311,5.941472904235103
312,3.8394592790680906
313,4.7669302651386625
314,5.865867189897938
315,8.34511055163329
316,8.77094272948886
317,7.780184585323428
318,7.389053332753411
319,9.159077460656375
320,8.287848956795607
321,8.358668023576037
322,8.412435432140148
323,9.50791514652638
324,11.235792992423537
325,11.489276715174334
326,11.026692372937546
327,15.899585743851155
328,16.59928444735132
329,16.903082431080392
330,17.465317197513034
331,19.105262349436767
332,17.73983342778366
333,18.24023126343697
334,20.719290067317793
335,20.060254507576772
336,20.5818316022236
337,21.833883317782632
338,25.64387132300081
339,25.803648741578744
340,26.01300963659411
341,26.689232651120292
342,26.031769123711953
343,24.32613190193545
344,23.226398389496403
345,20.240799361182727
346,25.13761204238334
347,25.244443768968953
348,27.59779609153709
349,27.98654860444883
350,28.92611532658827
351,30.365078826350633
352,29.378486874856787
353,28.05604969297277
354,26.29455632134624
355,25.319389348319145
356,25.48707286019793
357,24.030309524430855
358,22.052220168832058
359,20.634118400333147
360,19.183254051441107
361,18.388577546314945
362,18.009722728643645
363,18.617039224207577
364,18.161666922908534
365,18.08424489806619
366,15.89397692899875
367,15.258741780994356
368,17.026601352222734
369,21.44212722579547
370,21.108940128274853
371,19.921902246422654
372,15.783089303088259
373,14.134765750142952
374,12.7960531905848
375,11.67499521677205
376,13.70182109873578
377,11.455429479921417
378,11.00711558238946
379,7.880346623357075
380,9.285074513841224
381,11.495460201736492
382,12.222157894396666
383,11.627580030893318
384,14.817320295978442
385,13.579960081529222
386,15.487130750641912
387,15.928237533713308
388,17.022616550055588
389,16.51797970405532
390,15.715976864415525
391,14.253432524189295
392,17.280392465817528
393,18.457436329480934
394,20.954858936297732
395,21.56301593557189
396,17.998634657396707
397,17.680523462563038
398,19.01263024781012
399,18.97475415573219
400,17.973715101160746
401,20.106688491821625
402,22.451954053179488
403,19.031060675983387
404,18.150695721222792
405,21.141434850035484
406,22.08019638106077
407,19.505044190336836
408,19.869134372328165
409,20.085518605303264
410,20.88047309910371
411,21.752094005205112
412,25.617922519279727
413,25.605402184445655
414,27.048949210744926
415,26.85799515735794
416,29.094692789599
417,26.523647007571537
418,29.479480716735303
419,27.180707675809508
420,28.29003099615326
421,29.45711798201316
422,29.994060131212315
423,29.72808486168956
424,28.72511125449156
425,29.057633458024
426,32.15633873982507
427,31.700452865170515
428,35.135489482589485
429,37.07815273657146
430,40.02066792163416
431,41.24595417230373
432,45.4706448145262
433,46.6594409153797
434,47.03817087435786
435,49.97936173017384
436,52.055231624991805
437,51.620874743543865
438,53.59737380005805
439,56.21930490062379
440,55.03647251200609
441,52.822207703894364
442,53.10604332921875
443,56.4294866530124
444,56.317665800646616
445,56.29586640282449
446,53.45598218333339
447,53.83592484089003
448,51.163429372775575
449,54.216405531391565
450,52.22379323107281
451,54.19256566379461
452,57.72784214062615
453,60.444027605905774
454,64.62308156704431
455,66.17819035789893
456,68.76274221849184
457,67.70216922477627
458,67.40519309676914
459,70.42031221346073
460,73.59320006282272
461,76.46515889873385
462,78.60292671166673
463,82.30473970960797
464,84.81779083447354
465,87.57053912984252
466,91.11455878445364
467,94.41108829937724
468,94.04159067327346
469,95.44162147895695
470,94.46434083865103
471,94.87004860713284
472,99.66067360182993
473,99.43103388657387
474,102.08530517213727
475,104.13489980740731
476,106.57400366041885
477,111.23799347755518
478,111.27487425520674
479,109.52433667942653
480,108.84535210562173
481,108.75027769892786
482,110.94362476984077
483,110.12548067570692
484,109.19719464626556
485,108.72803714700322
486,109.6089660102505
487,111.47241635668539
488,113.24179418485248
489,115.16055560179919
490,114.89896860926434
491,116.60687516169006
492,114.09186803078794
493,113.88766362971083
494,113.45655455146624
495,113.35859837918841
496,114.7673761204269
497,118.11276013576322
498,118.63844490569707
499,115.44732506931723
500,114.87048505133042
501,113.92216078870058
502,115.21816782443459
503,115.26637574961522
504,117.56615192488914
505,117.463866027357
506,119.55059949809448
507,123.10191733937323
508,125.4594028147232
509,124.10416868610238
510,120.99824734360169
511,117.90258498444469
512,113.7907490547034
513,112.21560378227917
514,111.24649375263569
515,111.88515049138539
516,112.47372789063529
517,114.5685012084462
518,114.94079554197984
519,115.12624133880466
520,117.1506855491736
521,119.12221501478427
522,119.49452266492928
523,121.62700687446586
524,122.88198878722865
525,125.75926413796054
526,126.26500435713507
527,126.04285951628884
528,122.35620114113829
529,122.68485268845345
530,122.18533333205536
531,122.71483915095945
532,123.14928802976367
533,123.25982237694
534,118.43177299611776
535,118.08884984151265
536,118.03682552349397
537,115.41449354754661
538,115.30461360046326
539,114.84306766261508
540,114.11875748141891
541,117.73261094910121
542,119.77244804536669
543,119.8394533415991
544,122.99301691203759
545,126.48787879667316
546,126.02384294350118
547,125.12462961264079
548,127.856170878958
549,124.83057901662501
550,126.37166753964992
551,122.94509626811265
552,120.53610306371387
553,117.75066473771423
554,115.03850654853737
555,115.22035705980659
556,114.83265533561152
557,115.58367586464375
558,114.54966527727107
559,110.08095441497237
560,106.59031962935153
561,103.69957737567861
562,99.1861898050796
563,98.74445936700067
564,95.57889534431665
565,94.74767575438779
566,93.02298804375604
567,92.65256455349703
568,90.4513221365288
569,87.22807095995614
570,86.4350138874557
571,88.5797130550427
572,85.05364302233926
573,84.32311481032852
574,82.54932478299592
575,78.40127189741655
576,75.28610069402538
577,72.19528168492215
578,70.9304643995973
579,72.59508402486486
580,73.21351634418302
581,71.81534914228375
582,71.13017686503572
583,74.37896042516331
584,74.53650123572466
585,77.38687995686543
586,77.2146659729654
587,77.18959919430054
588,77.89549952707718
589,78.45028435808872
590,81.69018389560605
591,81.30048089460035
592,81.98398671982119
593,82.24817924015387
594,82.34017177402603
595,83.45360201603341
596,85.84458571717597
597,83.60554089943102
598,84.12917970838672
599,87.79006462340514
600,91.04163429336255
601,91.76424552535606
602,91.37415957314366
603,95.13251265274099
604,94.95897587498536
605,94.82057239755125
606,95.01699176140163
607,96.36216498708986
608,96.31081688031108
609,100.22237994925099
610,103.19630539379449
611,104.20086472108419
612,108.16518209316135
613,110.1351905341351
614,110.4383009902627
615,110.03854393453372
616,109.53798287582146
617,113.1881426571192
618,113.0473303705676
619,115.54991380290942
620,115.62234240962835
621,115.59521882106753
622,116.54993735803782
623,117.3753779070829
624,117.61963639190017
625,117.40354086434601
626,116.84899653827999
627,117.45619710881778
628,121.4255638499558
629,121.67208719183755
630,121.87238576963144
631,122.08491036320383
632,121.73111677195143
633,121.86610401552508
634,126.63141615554308
635,127.50208419263535
636,128.00210498468513
637,132.97258823206712
638,132.85875936725563
639,133.39051360492908
640,137.49281607674743
641,137.95253380818988
642,138.68896842571482
643,138.92242208429334
644,138.8155522081583
645,134.51245326292567
646,137.67649575892435
647,141.96877608927832
648,135.59728208022494
649,138.47532015319382
650,136.65282538031445
651,140.11055673391263
652,142.9005637650607
653,140.07822071435618
654,139.8087167710363
655,140.2922594315051
656,140.87539351811336
657,143.78527277832487
658,148.84501300467105
659,153.07030741015
660,156.73927941489268
661,159.56169286519045
662,161.4014326140336
663,159.41917718461247
664,162.5234983443172
665,160.73694864813388
666,161.80666111192352
667,162.40100928759776
668,163.59147043472186
669,167.57181767342246
670,169.10872252500923
671,169.87982012243108
672,172.85598948054357
673,171.94459711967036
674,174.22712688250868
675,179.34853946433347
676,182.58480818831114
677,185.9967648680179
678,189.35782357906476
679,192.5503181955393
680,195.38676872127667
681,197.52241143175735
682,199.1418154018597
683,199.6583761227213
