,0
0,-254.0351131768591
1,-176.7391649015887
2,-155.04587289323882
3,-120.72766891952068
4,-151.6402996949785
5,-140.35964330724687
6,-136.94652700355724
7,-154.6306684902434
8,-170.36767106665124
9,-165.07407617986456
10,-160.87414107997282
11,-156.2843102736637
12,-158.43885321660753
13,-160.20124762873235
14,-157.85789209599585
15,-156.76517406195137
16,-164.6571671064127
17,-165.4315381747225
18,-178.9413490326621
19,-176.0919786437421
20,-185.71960448395006
21,-190.07832816956304
22,-193.13933462565487
23,-190.18588016659814
24,-192.69775686175203
25,-188.7066781655529
26,-186.6673022999332
27,-189.08505196192544
28,-185.82459382970893
29,-182.76021419555323
30,-180.65112251083102
31,-186.01008518174467
32,-183.42143669761813
33,-185.63333971293898
34,-183.2321737461151
35,-181.67469931275815
36,-182.80548915500896
37,-181.14956362354394
38,-180.54211145576673
39,-181.9144424299002
40,-184.05087048975324
41,-186.03404256984828
42,-183.533540769001
43,-182.19052431051884
44,-182.96691639564202
45,-181.18864572718869
46,-180.3242768054622
47,-183.2165558072859
48,-183.38870310404735
49,-186.9189818141588
50,-186.1140409126188
51,-183.77904923718125
52,-185.16211591994923
53,-183.24078289647454
54,-181.32483121101484
55,-180.6136493258197
56,-178.91717885331386
57,-178.66456459284376
58,-181.3100961526971
59,-182.08367017310601
60,-187.69697902265
61,-192.3937357404965
62,-189.946557201396
63,-189.83915311893858
64,-188.07737137789593
65,-187.614706744144
66,-187.81908103026885
67,-187.62862907406827
68,-187.25316072549097
69,-186.95733125172373
70,-185.60204120203665
71,-184.3646228652036
72,-186.5260359631727
73,-185.52929728175587
74,-184.4959214824472
75,-188.70080410543758
76,-187.58601496156854
77,-185.40354233684377
78,-184.86681248963777
79,-185.04927097998015
80,-184.54671041363224
81,-185.98133494953038
82,-185.1281401082023
83,-184.02722162369258
84,-182.95958047155153
85,-182.72306942780946
86,-182.36244202271908
87,-181.65304272031045
88,-180.7780541202262
89,-180.21559523443673
90,-181.1736914388043
91,-181.60179531223469
92,-183.67305326087592
93,-182.52254217577672
94,-181.60190143123728
95,-180.7117568045742
96,-182.83499448802644
97,-183.21856171138998
98,-182.69166659080514
99,-183.32819748820341
100,-183.40313856159125
101,-184.15994544982027
102,-184.23026181215374
103,-185.87436246225673
104,-186.02657185838805
105,-188.5795798411955
106,-189.37075931945327
107,-186.33969890767364
108,-185.1765114301738
109,-184.21343327902247
110,-184.16840869212433
111,-184.3867078164837
112,-184.50161746672123
113,-186.67707746219665
114,-187.44945662297698
115,-187.134225559799
116,-185.88176732412091
117,-184.36312752588717
118,-181.03620856955354
119,-181.69201110519316
120,-179.02244518481686
121,-177.19394620770888
122,-177.27590648199205
123,-178.69080476641065
124,-177.55566737995693
125,-177.5655745395161
126,-178.06654852564327
127,-177.50982470619914
128,-177.9310876083908
129,-180.98427583554087
130,-180.6539329446475
131,-180.70608660149412
132,-181.10430130479043
133,-179.67416750577794
134,-180.95264356719545
135,-182.12923026019797
136,-183.08637027197537
137,-183.40870663456334
138,-184.53137782158916
139,-184.42161927876043
140,-183.08622520567064
141,-181.31874098167157
142,-180.9872303011944
143,-182.8537729274706
144,-182.1599371290584
145,-183.14995990886763
146,-182.6670701453825
147,-180.53956682238407
148,-179.89851146504407
149,-178.75446657390552
150,-179.89529821615452
151,-181.15929408549414
152,-180.48189855662372
153,-182.41479758573513
154,-183.25705239798407
155,-183.33076202347834
156,-182.79588912064875
157,-181.87589410366684
158,-179.17012042728183
159,-180.1753915550623
160,-176.04910965993417
161,-172.45441871730975
162,-175.55209150508065
163,-174.2317380856071
164,-176.49009038269082
165,-177.7330668845363
166,-177.37290750719777
167,-176.75575250597507
168,-177.5051351248269
169,-177.6302258327766
170,-179.7073369466782
171,-181.08838500637248
172,-178.90631896294343
173,-178.6478238543188
174,-179.8360314372855
175,-177.43594586434293
176,-176.80740360233642
177,-178.71652409268873
178,-178.07490179382293
179,-176.7572171456964
180,-178.76481513902309
181,-178.75849759583787
182,-178.40625372515987
183,-181.54309614976893
184,-182.30302763770968
185,-182.7941776049668
186,-182.7323300663816
187,-186.79710786283235
188,-187.20414583295403
189,-188.69417519080957
190,-187.25221189658623
191,-188.20707396123365
192,-185.51948706144992
193,-186.89979618452486
194,-188.27654573277866
195,-188.05300376941773
196,-185.5433516550034
197,-184.67621085797154
198,-184.488786039203
199,-182.22485623161808
200,-181.66627574488342
201,-182.72844425186955
202,-183.28817698202718
203,-182.19718151606278
204,-180.19435556833344
205,-177.6002136845495
206,-176.16308197736748
207,-177.4964027614911
208,-177.453555698673
209,-180.90094898095793
210,-184.10193861861072
211,-184.9804815539128
212,-185.61289945122607
213,-182.7259925181742
214,-181.79901843199139
215,-184.1525686558764
216,-183.29012187309465
217,-187.32980014678472
218,-187.28136348280492
219,-187.0303444977608
220,-186.80298437112546
221,-185.96232784104967
222,-185.60408978071536
223,-185.17432002891445
224,-185.29081625125812
225,-186.2797539422444
226,-188.79553002964735
227,-190.04097355242902
228,-190.10269053904932
229,-187.1978202500337
230,-188.43087427846268
231,-188.02007191700935
232,-189.33518664904088
233,-192.14541073636352
234,-190.35446346706766
235,-189.2115860032927
236,-187.06251563883353
237,-187.11120304470103
238,-187.33829204315535
239,-185.89632745837483
240,-185.2075250734024
241,-186.0464994628349
242,-189.69220349949725
243,-187.75802445825778
244,-190.0351142652442
245,-188.70620962835827
246,-190.97746194197174
247,-192.403519281689
248,-191.88663274489005
249,-190.65551373199895
250,-189.02218854352563
251,-188.3974953733286
252,-190.32561190797128
253,-192.44751630824445
254,-193.58586321851584
255,-193.40696963541427
256,-195.63962181064255
257,-195.7478642844043
258,-196.98437992059036
259,-194.79958199063717
260,-195.80995756561083
261,-197.02469491883485
262,-194.8543212430656
263,-195.5762249905281
264,-195.69877383062615
265,-195.39207491222027
266,-196.03179235063573
267,-197.29516362683484
268,-198.18016956060052
269,-198.3480371228353
270,-197.86377510608486
271,-195.5651113796668
272,-196.3561467128233
273,-196.4305281713563
274,-194.2720674109436
275,-192.892460488714
276,-194.32980856085692
277,-193.48102795070076
278,-195.7620539156136
279,-196.1878917264893
280,-197.0707683025087
281,-195.29680319549007
282,-195.36961679606017
283,-192.27444173078425
284,-193.05404026962682
285,-191.65710293451718
286,-192.99452739009524
287,-190.0863354923985
288,-189.8898762369194
289,-190.6588706701169
290,-190.88888472451177
291,-191.4614972939734
292,-189.46354943717924
293,-189.48112512360953
294,-188.0871752672512
295,-190.16583479893092
296,-190.8560668484223
297,-192.55437278108693
298,-194.634954602969
299,-196.43711517408082
300,-198.53751515456787
301,-196.83413688964032
302,-195.8842583553071
303,-197.23464102780147
304,-196.10849032211084
305,-194.89859850923153
306,-198.0630679925154
307,-199.3583280275367
308,-201.51727939558748
309,-198.9915449182836
310,-197.5933687320821
311,-196.1375753870553
312,-194.5753323325038
313,-194.3076776852063
314,-195.0177204026635
315,-192.73554001673384
316,-194.0786345321988
317,-190.69625018850653
318,-190.92398194415225
319,-192.32570122600472
320,-193.47152331146336
321,-194.37899734192032
322,-195.80917480754633
323,-194.96144579695704
324,-194.74648069274576
325,-193.67555862725695
326,-191.73493760697704
327,-189.51513059143198
328,-188.9576361508391
329,-188.986650352583
330,-188.47166368166106
331,-187.55929330881642
332,-186.8442395018861
333,-184.5042201044337
334,-184.95890317128288
335,-184.56781806620802
336,-184.76702312623812
337,-184.65818502320647
338,-182.5065449841597
339,-182.6630370509387
340,-183.1282126568715
341,-183.88950858108691
342,-180.91534585876335
343,-181.54715925460576
344,-181.77353456751564
345,-181.85955325763828
346,-179.68297095484246
347,-178.37047465404578
348,-178.81168198149405
349,-181.17650183942484
350,-183.9346914028374
351,-184.232029363035
352,-182.65910861344045
353,-178.78451245211912
354,-177.03550546501455
355,-180.42287057608834
356,-178.61223506107558
357,-178.65795710124996
358,-179.04588237078949
359,-178.82619925761924
360,-179.37753795436353
361,-178.08264161339702
362,-177.92717422211453
363,-178.2685834306476
364,-178.08719438379586
365,-176.8693592903991
366,-176.59652118896992
367,-174.97970796574006
368,-175.19395875691455
369,-174.36564520932498
370,-174.5136328988408
371,-175.23581755381394
372,-174.40664073606368
373,-174.53485176222162
374,-176.14367183412327
375,-178.06143449337634
376,-177.3692437386668
377,-177.69754418741022
378,-176.13059888946884
379,-175.81044737743596
380,-172.93716794819372
381,-173.31380558435913
382,-174.01443585926475
383,-175.82803736859347
384,-177.01241231118877
385,-177.1276831963328
386,-175.18588364047835
387,-174.0429554860754
388,-174.13322627795597
389,-176.1621343328863
390,-175.72649236997543
391,-172.71946642092894
392,-175.0715608504289
393,-175.37946657226377
394,-178.15910852318189
