,0
0,-81.11854764360749
1,-104.48236348292565
2,-101.48415920554622
3,-109.78912333956268
4,-194.21356233391234
5,-180.74010098057866
6,-173.778747272119
7,-207.88717377839453
8,-193.88397020048419
9,-192.23307518173286
10,-185.1859365921838
11,-196.5004455427453
12,-203.97112239158145
13,-203.5806242863003
14,-221.6198145073194
15,-212.19349319170823
16,-207.17581409984092
17,-207.71869368663016
18,-201.29830881961541
19,-196.77891372372773
20,-193.037490940854
21,-192.52566223053927
22,-192.43905493810215
23,-190.5640552611112
24,-186.98799480590762
25,-181.1525647906008
26,-183.69271544113246
27,-186.15113866767027
28,-185.85696611186245
29,-185.38612594139616
30,-187.9602545152327
31,-195.40328354386074
32,-189.5765511378196
33,-188.09647683069835
34,-189.17388803329862
35,-190.31895737326124
36,-189.04839991603998
37,-189.22477898993742
38,-187.02585706690513
39,-186.32962352316002
40,-186.06509623670553
41,-183.9117301852715
42,-180.54177664640002
43,-179.22398956593372
44,-176.82674532042589
45,-178.19892626591042
46,-180.9584790662894
47,-180.54749279175837
48,-178.3913448115977
49,-182.80467562084618
50,-186.32629306515975
51,-185.66012823946147
52,-189.64474361970693
53,-187.1497587881979
54,-187.8792043891075
55,-189.3534459178581
56,-189.2878435611718
57,-189.22143779694568
58,-187.85493630128963
59,-187.76648621317813
60,-189.00193204308934
61,-191.74130925769109
62,-191.75143602524764
63,-190.12083189661683
64,-190.01614134936216
65,-191.72590521395966
66,-190.82831221847286
67,-189.0097288412835
68,-190.26848317303077
69,-187.2063421139149
70,-188.17582980911916
71,-186.76757578915496
72,-188.24401313512357
73,-186.41304496865462
74,-184.92389791885347
75,-183.3584915279186
76,-183.8905769102241
77,-184.01430474074522
78,-183.35821072769917
79,-185.2432254099795
80,-184.3535256923443
81,-183.28244804640423
82,-185.5482788388679
83,-185.25314530639773
84,-185.43598075983073
85,-184.25372059300923
86,-184.70301959766397
87,-185.54375174024437
88,-184.13875675793147
89,-183.8046727048578
90,-182.57253912902266
91,-182.3730052931279
92,-181.92787131606713
93,-181.6183460743629
94,-181.28752795040373
95,-182.24777526210138
96,-184.03862601168822
97,-183.3658000522846
98,-182.79277950602167
99,-183.82105111637472
100,-184.02626707133558
101,-184.5466822922576
102,-185.271290619638
103,-185.04487760336295
104,-180.83056689585385
105,-180.92478601228578
106,-184.147371407447
107,-183.07418675072668
108,-183.43223025283135
109,-185.09335727167255
110,-188.96679692200854
111,-186.87918333224974
112,-185.5019694622953
113,-184.60710502706144
114,-182.91319050457162
115,-183.79996291259133
116,-184.88799332408158
117,-184.15552102407077
118,-186.2387293657587
119,-186.91851310556936
120,-186.5150993069984
121,-186.42601219456535
122,-185.62694159172457
123,-187.77019056766036
124,-185.94219423364004
125,-186.71646692593058
126,-186.97461330901518
127,-185.55942085832416
128,-186.97324762081436
129,-186.4374900876089
130,-186.37471052415898
131,-183.3630323374298
132,-185.69526670693566
133,-188.42985377386256
134,-189.2261415542106
135,-189.2135757613894
136,-189.37973887550322
137,-188.3435825498235
138,-189.76602979335038
139,-192.0601527845326
140,-193.04929530026203
141,-193.14369934855145
142,-194.33873661467135
143,-193.7787879231129
144,-194.4845877469438
145,-193.28433529159648
146,-191.23689128503233
147,-191.21491692989184
148,-192.41158585238537
149,-191.9423582336281
150,-189.38270415483186
151,-188.8405274361867
152,-186.72183531865772
153,-187.28512668758884
154,-185.74795121491724
155,-186.28057798501274
156,-187.79838852447168
157,-186.94725152534843
158,-187.1920063137849
159,-186.67651139075753
160,-185.16287076592337
161,-185.5756488982848
162,-184.15618173777577
163,-184.96297430869947
164,-184.31812419363374
165,-183.92672557302777
166,-183.45240114324093
167,-183.04924293257582
168,-181.0110386505862
169,-182.95548592661467
170,-183.70898386842947
171,-185.63889662085342
172,-185.52203938676155
173,-185.97123193685985
174,-186.82225521946594
175,-187.2544945935557
176,-186.15881115136602
177,-187.75564474267284
178,-187.9237232600718
179,-186.9476270694008
180,-188.7883852865559
181,-189.95548714980757
182,-187.65722163076146
183,-187.13723395842575
184,-185.08318810102372
185,-185.31334075191518
186,-184.64317398874707
187,-184.23832950913177
188,-184.48565974204163
189,-184.7769770641872
190,-187.22931579780663
191,-186.59474890127254
192,-187.1161783937183
193,-188.15127311532004
194,-189.48309225251174
195,-190.93510524635573
196,-188.67898392662283
197,-188.75410244086194
198,-190.804984936593
199,-189.0483333849534
200,-191.8511542243688
201,-190.94676406823265
202,-191.06288782309858
203,-192.9911459713863
204,-195.5551896852149
205,-195.41645167473496
206,-193.15915814423965
207,-191.5926283064573
208,-192.53050171737866
209,-193.0379113183502
210,-189.11704369807003
211,-190.9200808590658
212,-192.35974714866057
213,-192.27021520487767
214,-190.65247076480242
215,-190.36576892449105
216,-188.873428322246
217,-188.09333681981073
218,-186.27246352622893
219,-186.57517776983798
220,-186.81271278323047
221,-186.35911873193672
222,-186.32906093382604
223,-186.0700450933333
224,-188.01425541429083
225,-189.3713940867227
226,-187.6768323422028
227,-190.3109361386916
228,-189.40541892758495
229,-190.3462803937693
230,-189.72933807457127
231,-192.39744159266908
232,-190.73981608244114
233,-190.2741924395451
234,-191.07971102478277
235,-189.95320616437348
236,-189.24741821161444
237,-189.53448863756418
238,-187.99039350634376
239,-185.2633196680652
240,-183.52966420053602
241,-185.93438691291192
242,-185.33037002368633
243,-186.01086350068869
244,-188.89856655891037
245,-188.68619096525774
246,-188.92426483416205
247,-188.46417551466925
248,-189.3462479521185
249,-188.47350893570024
250,-189.57147063960318
251,-190.00822227996966
252,-189.43945462994327
253,-191.31750943948012
254,-193.07114797133806
255,-192.13791591564507
256,-190.9217408988735
257,-190.93962097808847
258,-192.20630621586918
259,-191.68151244530688
260,-193.74201318623741
261,-192.69502921232822
262,-193.25917440301038
263,-194.22137714045047
264,-194.4030296016244
265,-193.65799132725235
266,-193.9390753141206
267,-195.58404350729563
268,-195.67568455512844
269,-197.23285543391833
270,-194.59786123343088
271,-192.9804939331003
272,-191.75376444713285
273,-194.89051772652027
274,-194.81699811484913
275,-197.77856687080657
276,-198.71905567780155
277,-196.555124253794
278,-197.33283692394534
279,-196.23969767780818
280,-196.69535140405816
281,-195.99358723475638
282,-196.36399188530766
283,-196.32591159283984
284,-197.77895074852108
285,-197.7945676011836
286,-197.12615327982292
287,-196.27036752171873
288,-195.77046925033133
289,-196.43825005554842
290,-194.53361966340063
291,-194.24436632012524
292,-192.95804724863362
293,-194.6083238300367
294,-193.50062259088395
295,-190.6875212433665
296,-192.40605236873384
297,-192.3791483641076
298,-189.67981286493549
299,-190.12254508538092
300,-187.48639889080835
